new_name	old_name
Pf3D7_13_v3-0156566-0156722	Pf3D7_13_v3-156535-156753-1
Pf3D7_13_v3-1150303-1150493	Pf3D7_13_v3-1150279-1150526-1
Pf3D7_13_v3-1419543-1419670	Pf3D7_13_v3-1419519-1419700-1
Pf3D7_13_v3-1725365-1725570	Pf3D7_13_v3-1725337-1725592-1
Pf3D7_13_v3-1876352-1876534	Pf3D7_13_v3-1876325-1876566-1
Pf3D7_13_v3-2114975-2115142	Pf3D7_13_v3-2114942-2115174-1
Pf3D7_13_v3-2124634-2124847	Pf3D7_13_v3-2124602-2124876-1
Pf3D7_13_v3-2479086-2479246	Pf3D7_13_v3-2479055-2479275-1
Pf3D7_13_v3-2481106-2481288	Pf3D7_13_v3-2481079-2481321-1
Pf3D7_13_v3-2669135-2669307	Pf3D7_13_v3-2669104-2669339-1
Pf3D7_14_v3-0039953-0040137	Pf3D7_14_v3-39920-40170-1
Pf3D7_14_v3-0120215-0120351	Pf3D7_14_v3-120188-120381-1
Pf3D7_14_v3-0150105-0150294	Pf3D7_14_v3-150075-150318-1
Pf3D7_14_v3-0279663-0279786	Pf3D7_14_v3-279635-279818-1
Pf3D7_14_v3-0407379-0407571	Pf3D7_14_v3-407346-407604-1
Pf3D7_14_v3-0564208-0564377	Pf3D7_14_v3-564177-564409-1
Pf3D7_14_v3-1038369-1038486	Pf3D7_14_v3-1038340-1038518-1
Pf3D7_14_v3-1956129-1956286	Pf3D7_14_v3-1956096-1956312-1
Pf3D7_14_v3-1992289-1992426	Pf3D7_14_v3-1992261-1992458-1
Pf3D7_14_v3-2524962-2525089	Pf3D7_14_v3-2524931-2525119-1
Pf3D7_14_v3-3124642-3124842	Pf3D7_14_v3-3124614-3124870-1
Pf3D7_14_v3-3214351-3214478	Pf3D7_14_v3-3214318-3214502-1
