old_name	new_name	pool
Pf3D7_02_v3-320652-320949-2	Pf3D7_02_v3-0320675-0320924	R2.1
Pf3D7_02_v3-320761-321010-2	Pf3D7_02_v3-0320785-0320988	v2
Pf3D7_02_v3-470437-470709-1A	Pf3D7_02_v3-0470469-0470676	D1.1
Pf3D7_02_v3-470459-470709-1	Pf3D7_02_v3-0470492-0470676	v1
Pf3D7_02_v3-470460-470709-2	Pf3D7_02_v3-0470492-0470676	v2
Pf3D7_02_v3-501366-501575-2	Pf3D7_02_v3-0501397-0501549	v2
Pf3D7_02_v3-503040-503288-1A	Pf3D7_02_v3-0503071-0503260	D1.1
Pf3D7_02_v3-628941-629172-1A	Pf3D7_02_v3-0628973-0629143	D1.1
Pf3D7_02_v3-630641-630907-1A	Pf3D7_02_v3-0630673-0630874	D1.1
Pf3D7_02_v3-805795-805970-1	Pf3D7_02_v3-0805822-0805942	v1
Pf3D7_02_v3-805796-805970-2	Pf3D7_02_v3-0805822-0805942	v2
Pf3D7_02_v3-855414-855702-2	Pf3D7_02_v3-0855446-0855674	v2
Pf3D7_03_v3-85402-85680-2	Pf3D7_03_v3-0085429-0085647	v2
Pf3D7_03_v3-85407-85679-1	Pf3D7_03_v3-0085440-0085646	v1
Pf3D7_03_v3-85507-85756-1A	Pf3D7_03_v3-0085539-0085723	D1.1
Pf3D7_03_v3-141937-142210-2	Pf3D7_03_v3-0141963-0142180	v2
Pf3D7_03_v3-141936-142210-1	Pf3D7_03_v3-0141963-0142181	v1
Pf3D7_03_v3-221185-221419-1B	Pf3D7_03_v3-0221217-0221388	R1.1,R1.2
Pf3D7_03_v3-221295-221532-2	Pf3D7_03_v3-0221327-0221511	M2.1,R2.1
Pf3D7_03_v3-221330-221521-1	Pf3D7_03_v3-0221363-0221495	v1
Pf3D7_03_v3-221379-221665-2	Pf3D7_03_v3-0221405-0221644	v2
Pf3D7_03_v3-221463-221712-1B	Pf3D7_03_v3-0221484-0221679	M1.1,R1.1,R1.2
Pf3D7_03_v3-240957-241256-2	Pf3D7_03_v3-0240989-0241224	R2.1
Pf3D7_03_v3-326953-327202-2	Pf3D7_03_v3-0326980-0327169	v2
Pf3D7_03_v3-515418-515657-1A	Pf3D7_03_v3-0515440-0515629	D1.1
Pf3D7_03_v3-573557-573797-2	Pf3D7_03_v3-0573584-0573767	v2
Pf3D7_03_v3-618367-618613-1	Pf3D7_03_v3-0618396-0618581	v1
Pf3D7_03_v3-618368-618617-2	Pf3D7_03_v3-0618396-0618586	v2
Pf3D7_03_v3-653959-654206-2	Pf3D7_03_v3-0653988-0654177	v2
Pf3D7_03_v3-653961-654206-1A	Pf3D7_03_v3-0653993-0654177	D1.1
Pf3D7_03_v3-653972-654204-1	Pf3D7_03_v3-0654002-0654175	v1
Pf3D7_03_v3-701755-701991-2	Pf3D7_03_v3-0701787-0701959	v2
Pf3D7_03_v3-750395-750658-2	Pf3D7_03_v3-0750423-0750628	v2
Pf3D7_03_v3-850788-851017-1	Pf3D7_03_v3-0850816-0850989	v1
Pf3D7_03_v3-850789-851020-2	Pf3D7_03_v3-0850816-0850993	v2
Pf3D7_03_v3-855426-855697-1A	Pf3D7_03_v3-0855455-0855664	D1.1
Pf3D7_03_v3-891553-891827-1A	Pf3D7_03_v3-0891585-0891794	D1.1,M1.1
Pf3D7_03_v3-980765-980997-1B	Pf3D7_03_v3-0980796-0980964	R1.1
Pf3D7_03_v3-980853-981120-2	Pf3D7_03_v3-0980885-0981092	R2.1
Pf3D7_03_v3-981574-981823-1B	Pf3D7_03_v3-0981606-0981797	R1.1
Pf3D7_03_v3-981921-982191-1B	Pf3D7_03_v3-0981945-0982163	R1.1
Pf3D7_03_v3-982299-982523-1B	Pf3D7_03_v3-0982331-0982491	R1.1
Pf3D7_03_v3-988783-989015-2	Pf3D7_03_v3-0988811-0988982	v2
Pf3D7_04_v3-109879-110114-2	Pf3D7_04_v3-0109911-0110088	v2
Pf3D7_04_v3-109879-110114-1	Pf3D7_04_v3-0109912-0110087	v1
Pf3D7_04_v3-109939-110184-1A	Pf3D7_04_v3-0109961-0110151	D1.1
Pf3D7_04_v3-115455-115684-1A	Pf3D7_04_v3-0115483-0115652	D1.1,M1.1
Pf3D7_04_v3-128041-128219-2	Pf3D7_04_v3-0128066-0128189	v2
Pf3D7_04_v3-133464-133726-2	Pf3D7_04_v3-0133491-0133700	v2
Pf3D7_04_v3-133463-133726-1	Pf3D7_04_v3-0133491-0133701	v1
Pf3D7_04_v3-133581-133830-1A	Pf3D7_04_v3-0133612-0133801	D1.1
Pf3D7_04_v3-133928-134154-1A	Pf3D7_04_v3-0133960-0134121	D1.1
Pf3D7_04_v3-140317-140548-1A	Pf3D7_04_v3-0140349-0140516	D1.1
Pf3D7_04_v3-141731-141977-2	Pf3D7_04_v3-0141758-0141948	v2
Pf3D7_04_v3-141741-141990-1A	Pf3D7_04_v3-0141761-0141957	D1.1
Pf3D7_04_v3-141751-141975-1	Pf3D7_04_v3-0141778-0141945	v1
Pf3D7_04_v3-191109-191288-2	Pf3D7_04_v3-0191140-0191255	v2
Pf3D7_04_v3-284121-284364-1A	Pf3D7_04_v3-0284153-0284333	D1.1
Pf3D7_04_v3-316593-316858-1A	Pf3D7_04_v3-0316623-0316825	D1.1
Pf3D7_04_v3-415623-415859-1	Pf3D7_04_v3-0415653-0415826	v1
Pf3D7_04_v3-415625-415874-2	Pf3D7_04_v3-0415656-0415843	v2
Pf3D7_04_v3-544454-544718-1A	Pf3D7_04_v3-0544486-0544685	D1.1,M1.1
Pf3D7_04_v3-544686-544888-1	Pf3D7_04_v3-0544718-0544861	v1
Pf3D7_04_v3-544687-544910-2	Pf3D7_04_v3-0544718-0544882	v2
Pf3D7_04_v3-648065-648332-1A	Pf3D7_04_v3-0648096-0648299	D1.1
Pf3D7_04_v3-748105-748359-1B	Pf3D7_04_v3-0748128-0748326	M1.1,R1.1,R1.2
Pf3D7_04_v3-748190-748469-2	Pf3D7_04_v3-0748220-0748436	v2
Pf3D7_04_v3-748200-748469-1	Pf3D7_04_v3-0748230-0748436	v1
Pf3D7_04_v3-748374-748611-1B	Pf3D7_04_v3-0748406-0748581	M1.1,R1.1,R1.2
Pf3D7_04_v3-748495-748725-2	Pf3D7_04_v3-0748527-0748696	v2
Pf3D7_04_v3-748500-748725-1	Pf3D7_04_v3-0748533-0748696	v1
Pf3D7_04_v3-748585-748822-2	Pf3D7_04_v3-0748617-0748789	R2.1
Pf3D7_04_v3-802492-802741-2	Pf3D7_04_v3-0802522-0802716	v2
Pf3D7_04_v3-802494-802740-1	Pf3D7_04_v3-0802525-0802713	v1
Pf3D7_04_v3-880793-881025-2	Pf3D7_04_v3-0880825-0880993	v2
Pf3D7_04_v3-900526-900759-1A	Pf3D7_04_v3-0900558-0900729	D1.1
Pf3D7_04_v3-1005938-1006187-1A	Pf3D7_04_v3-1005970-1006155	D1.1,M2.1
Pf3D7_04_v3-1037602-1037868-1	Pf3D7_04_v3-1037634-1037844	v1
Pf3D7_04_v3-1037603-1037868-2	Pf3D7_04_v3-1037634-1037844	v2
Pf3D7_04_v3-1037644-1037891-1A	Pf3D7_04_v3-1037676-1037859	D1.1
Pf3D7_04_v3-1077327-1077562-1B	Pf3D7_04_v3-1077359-1077536	R1.1
Pf3D7_04_v3-1082776-1083049-1B	Pf3D7_04_v3-1082808-1083016	R1.1
Pf3D7_04_v3-1083095-1083331-1B	Pf3D7_04_v3-1083126-1083298	R1.1
Pf3D7_04_v3-1083299-1083563-2	Pf3D7_04_v3-1083331-1083530	R2.1
Pf3D7_04_v3-1083411-1083668-1B	Pf3D7_04_v3-1083442-1083635	R1.1
Pf3D7_04_v3-1100629-1100863-1	Pf3D7_04_v3-1100656-1100831	v1
Pf3D7_04_v3-1100630-1100863-2	Pf3D7_04_v3-1100656-1100831	v2
Pf3D7_04_v3-1101723-1101990-2	Pf3D7_04_v3-1101748-1101958	v2
Pf3D7_04_v3-1102362-1102606-1	Pf3D7_04_v3-1102389-1102578	v1
Pf3D7_04_v3-1102363-1102609-2	Pf3D7_04_v3-1102389-1102581	v2
Pf3D7_04_v3-1113397-1113639-1A	Pf3D7_04_v3-1113421-1113612	D1.1
Pf3D7_04_v3-1113404-1113653-2	Pf3D7_04_v3-1113428-1113627	v2
Pf3D7_04_v3-1113422-1113632-1	Pf3D7_04_v3-1113450-1113604	v1
Pf3D7_04_v3-1128462-1128705-2	Pf3D7_04_v3-1128488-1128673	v2
Pf3D7_04_v3-1128461-1128705-1	Pf3D7_04_v3-1128489-1128673	v1
Pf3D7_04_v3-1138029-1138316-2	Pf3D7_04_v3-1138060-1138283	v2
Pf3D7_05_v3-213027-213251-1A	Pf3D7_05_v3-0213059-0213219	D1.1
Pf3D7_05_v3-269241-269499-2	Pf3D7_05_v3-0269263-0269466	v2
Pf3D7_05_v3-329348-329581-2	Pf3D7_05_v3-0329372-0329554	v2
Pf3D7_05_v3-329351-329578-1	Pf3D7_05_v3-0329378-0329550	v1
Pf3D7_05_v3-350808-351052-1A	Pf3D7_05_v3-0350840-0351019	D1.1,M2.1
Pf3D7_05_v3-369676-369949-1A	Pf3D7_05_v3-0369705-0369916	D1.1
Pf3D7_05_v3-395887-396136-1A	Pf3D7_05_v3-0395919-0396103	D1.1
Pf3D7_05_v3-550803-551072-1A	Pf3D7_05_v3-0550834-0551043	D1.1
Pf3D7_05_v3-565061-565310-2	Pf3D7_05_v3-0565092-0565277	v2
Pf3D7_05_v3-615379-615678-2	Pf3D7_05_v3-0615411-0615646	R2.1
Pf3D7_05_v3-641131-641404-1A	Pf3D7_05_v3-0641162-0641373	D1.1
Pf3D7_05_v3-668763-669004-1A	Pf3D7_05_v3-0668787-0668979	D1.1
Pf3D7_05_v3-796518-796759-1A	Pf3D7_05_v3-0796550-0796728	D1.1
Pf3D7_05_v3-832862-833110-2	Pf3D7_05_v3-0832893-0833080	v2
Pf3D7_05_v3-958028-958255-2	Pf3D7_05_v3-0958058-0958222	v2
Pf3D7_05_v3-958027-958254-1	Pf3D7_05_v3-0958059-0958221	v1
Pf3D7_05_v3-958079-958350-1B	Pf3D7_05_v3-0958105-0958317	M1.1,R1.1,R1.2
Pf3D7_05_v3-958354-958542-2	Pf3D7_05_v3-0958384-0958510	v2
Pf3D7_05_v3-958362-958539-1	Pf3D7_05_v3-0958389-0958506	v1
Pf3D7_05_v3-958372-958608-1B	Pf3D7_05_v3-0958394-0958580	M1.1,R1.1,R1.2
Pf3D7_05_v3-958920-959168-1B	Pf3D7_05_v3-0958952-0959135	R1.1,R1.2
Pf3D7_05_v3-959183-959446-6	Pf3D7_05_v3-0959211-0959413	M1.1
Pf3D7_05_v3-960810-961048-1B	Pf3D7_05_v3-0960841-0961021	R1.1,R1.2
Pf3D7_05_v3-961511-961758-1B	Pf3D7_05_v3-0961543-0961730	M1.1,R1.1,R1.2
Pf3D7_05_v3-991301-991547-2	Pf3D7_05_v3-0991333-0991515	v2
Pf3D7_05_v3-1042126-1042311-2	Pf3D7_05_v3-1042157-1042281	v2
Pf3D7_05_v3-1042129-1042311-1	Pf3D7_05_v3-1042162-1042281	v1
Pf3D7_05_v3-1188456-1188706-1A	Pf3D7_05_v3-1188488-1188673	D1.1
Pf3D7_05_v3-1309567-1309800-2	Pf3D7_05_v3-1309591-1309773	v2
Pf3D7_05_v3-1309581-1309771-1	Pf3D7_05_v3-1309609-1309744	v1
Pf3D7_05_v3-1322099-1322341-1A	Pf3D7_05_v3-1322131-1322313	D1.1,M1.1
Pf3D7_06_v3-86220-86446-2	Pf3D7_06_v3-0086246-0086422	v2
Pf3D7_06_v3-114456-114679-2	Pf3D7_06_v3-0114484-0114647	v2
Pf3D7_06_v3-145285-145531-1A	Pf3D7_06_v3-0145317-0145502	D1.1
Pf3D7_06_v3-145315-145537-2	Pf3D7_06_v3-0145341-0145507	v2
Pf3D7_06_v3-145315-145530-1	Pf3D7_06_v3-0145343-0145501	v1
Pf3D7_06_v3-176108-176338-1A	Pf3D7_06_v3-0176138-0176305	D1.1
Pf3D7_06_v3-322831-323113-2	Pf3D7_06_v3-0322857-0323081	v2
Pf3D7_06_v3-416462-416720-1A	Pf3D7_06_v3-0416486-0416688	D1.1
Pf3D7_06_v3-532165-532411-2	Pf3D7_06_v3-0532192-0532383	v2
Pf3D7_06_v3-532166-532407-1A	Pf3D7_06_v3-0532194-0532380	D1.1,M1.1
Pf3D7_06_v3-532167-532405-1	Pf3D7_06_v3-0532195-0532378	v1
Pf3D7_06_v3-799754-799983-2	Pf3D7_06_v3-0799786-0799956	v2
Pf3D7_06_v3-851492-851765-1A	Pf3D7_06_v3-0851515-0851740	D1.1
Pf3D7_06_v3-857454-857753-2	Pf3D7_06_v3-0857486-0857720	R2.1
Pf3D7_06_v3-1002556-1002803-2	Pf3D7_06_v3-1002583-1002776	v2
Pf3D7_06_v3-1115900-1116168-1A	Pf3D7_06_v3-1115931-1116136	D1.1
Pf3D7_06_v3-1128558-1128797-1A	Pf3D7_06_v3-1128590-1128771	D1.1
Pf3D7_06_v3-1135605-1135855-1A	Pf3D7_06_v3-1135637-1135827	D1.1
Pf3D7_06_v3-1136091-1136364-1A	Pf3D7_06_v3-1136121-1136332	D1.1
Pf3D7_06_v3-1140900-1141174-1A	Pf3D7_06_v3-1140924-1141141	D1.1
Pf3D7_06_v3-1192628-1192867-1A	Pf3D7_06_v3-1192659-1192836	D1.1
Pf3D7_06_v3-1197245-1197515-1A	Pf3D7_06_v3-1197277-1197483	D1.1
Pf3D7_06_v3-1214815-1215069-1B	Pf3D7_06_v3-1214845-1215036	R1.1
Pf3D7_06_v3-1215236-1215502-1B	Pf3D7_06_v3-1215267-1215479	R1.1
Pf3D7_06_v3-1215495-1215756-1B	Pf3D7_06_v3-1215515-1215727	R1.1
Pf3D7_06_v3-1234427-1234629-2	Pf3D7_06_v3-1234457-1234602	v2
Pf3D7_06_v3-1235395-1235658-1A	Pf3D7_06_v3-1235427-1235625	D1.1
Pf3D7_06_v3-1268127-1268382-2	Pf3D7_06_v3-1268159-1268349	v2
Pf3D7_06_v3-1282656-1282930-1A	Pf3D7_06_v3-1282687-1282898	D1.1
Pf3D7_07_v3-80217-80463-2	Pf3D7_07_v3-0080240-0080439	v2
Pf3D7_07_v3-80492-80768-2	Pf3D7_07_v3-0080514-0080735	v2
Pf3D7_07_v3-105172-105442-1A	Pf3D7_07_v3-0105200-0105414	D1.1
Pf3D7_07_v3-165202-165450-1	Pf3D7_07_v3-0165235-0165422	v1
Pf3D7_07_v3-166002-166197-1	Pf3D7_07_v3-0166035-0166167	v1
Pf3D7_07_v3-298851-299035-2	Pf3D7_07_v3-0298880-0299007	v2
Pf3D7_07_v3-298857-299033-1	Pf3D7_07_v3-0298886-0299005	v1
Pf3D7_07_v3-403479-403716-1B	Pf3D7_07_v3-0403499-0403683	R1.1,R1.2
Pf3D7_07_v3-403487-403750-2	Pf3D7_07_v3-0403507-0403717	M1.1,R2.1
Pf3D7_07_v3-403801-404052-1B	Pf3D7_07_v3-0403833-0404021	R1.1,R1.2
Pf3D7_07_v3-404325-404590-1B	Pf3D7_07_v3-0404357-0404564	R1.1,R1.2
Pf3D7_07_v3-404776-405006-1B	Pf3D7_07_v3-0404808-0404981	R1.1
Pf3D7_07_v3-405334-405576-1B	Pf3D7_07_v3-0405357-0405543	R1.1
Pf3D7_07_v3-405517-405773-2	Pf3D7_07_v3-0405549-0405743	R2.1
Pf3D7_07_v3-405570-405844-1B	Pf3D7_07_v3-0405597-0405815	R1.1,R1.2
Pf3D7_07_v3-432832-433091-1A	Pf3D7_07_v3-0432855-0433064	D1.1
Pf3D7_07_v3-465298-465576-2	Pf3D7_07_v3-0465326-0465547	v2
Pf3D7_07_v3-475313-475545-1A	Pf3D7_07_v3-0475343-0475512	D1.1
Pf3D7_07_v3-505632-505916-2	Pf3D7_07_v3-0505660-0505889	v2
Pf3D7_07_v3-613450-613689-2	Pf3D7_07_v3-0613481-0613662	v2
Pf3D7_07_v3-627351-627625-1A	Pf3D7_07_v3-0627381-0627592	D1.1
Pf3D7_07_v3-717260-717493-1A	Pf3D7_07_v3-0717292-0717461	D1.1
Pf3D7_07_v3-729480-729750-1A	Pf3D7_07_v3-0729507-0729725	D1.1
Pf3D7_07_v3-729944-730118-2	Pf3D7_07_v3-0729975-0730087	v2
Pf3D7_07_v3-729943-730118-1	Pf3D7_07_v3-0729975-0730088	v1
Pf3D7_07_v3-752026-752255-2	Pf3D7_07_v3-0752058-0752226	v2
Pf3D7_07_v3-896613-896849-1B	Pf3D7_07_v3-0896645-0896816	R1.1,R1.2
Pf3D7_07_v3-1028330-1028603-1A	Pf3D7_07_v3-1028361-1028570	D1.1
Pf3D7_07_v3-1043981-1044225-1A	Pf3D7_07_v3-1044011-1044195	D1.1
Pf3D7_07_v3-1066661-1066903-1A	Pf3D7_07_v3-1066693-1066879	D1.1
Pf3D7_07_v3-1149367-1149613-1A	Pf3D7_07_v3-1149398-1149585	D1.1
Pf3D7_07_v3-1149386-1149613-2	Pf3D7_07_v3-1149413-1149585	v2
Pf3D7_07_v3-1149387-1149613-1	Pf3D7_07_v3-1149415-1149585	v1
Pf3D7_07_v3-1358666-1358941-1	Pf3D7_07_v3-1358694-1358911	v1
Pf3D7_07_v3-1358667-1358952-2	Pf3D7_07_v3-1358694-1358926	v2
Pf3D7_07_v3-1359171-1359364-2	Pf3D7_07_v3-1359198-1359337	v2
Pf3D7_07_v3-1359716-1359955-2	Pf3D7_07_v3-1359743-1359931	v2
Pf3D7_08_v3-102277-102527-1A	Pf3D7_08_v3-0102308-0102500	D1.1
Pf3D7_08_v3-102296-102531-2	Pf3D7_08_v3-0102323-0102503	v2
Pf3D7_08_v3-102298-102527-1	Pf3D7_08_v3-0102326-0102500	v1
Pf3D7_08_v3-115232-115438-2	Pf3D7_08_v3-0115255-0115405	v2
Pf3D7_08_v3-336421-336651-1A	Pf3D7_08_v3-0336453-0336618	D1.1,M2.1
Pf3D7_08_v3-336438-336674-1	Pf3D7_08_v3-0336468-0336647	v1
Pf3D7_08_v3-336439-336685-2	Pf3D7_08_v3-0336468-0336660	v2
Pf3D7_08_v3-339139-339389-1	Pf3D7_08_v3-0339168-0339357	v1
Pf3D7_08_v3-339140-339389-2	Pf3D7_08_v3-0339168-0339357	v2
Pf3D7_08_v3-398539-398776-2	Pf3D7_08_v3-0398571-0398744	v2
Pf3D7_08_v3-399693-399961-1A	Pf3D7_08_v3-0399718-0399934	D1.1
Pf3D7_08_v3-412801-413062-1A	Pf3D7_08_v3-0412833-0413029	D1.1
Pf3D7_08_v3-476232-476475-1A	Pf3D7_08_v3-0476264-0476442	D1.1
Pf3D7_08_v3-477346-477615-2	Pf3D7_08_v3-0477373-0477582	v2
Pf3D7_08_v3-549583-549807-1B	Pf3D7_08_v3-0549609-0549776	M1.1,R1.1,R1.2
Pf3D7_08_v3-549960-550215-1B	Pf3D7_08_v3-0549988-0550182	M1.1,R1.1,R1.2
Pf3D7_08_v3-549963-550251-2	Pf3D7_08_v3-0549992-0550218	v2
Pf3D7_08_v3-549962-550251-1	Pf3D7_08_v3-0549993-0550218	v1
Pf3D7_08_v3-550057-550318-2	Pf3D7_08_v3-0550089-0550294	M2.1,R2.1
Pf3D7_08_v3-562363-562651-2	Pf3D7_08_v3-0562395-0562618	v2
Pf3D7_08_v3-585331-585590-1A	Pf3D7_08_v3-0585363-0585562	D1.1
Pf3D7_08_v3-585703-585949-1A	Pf3D7_08_v3-0585735-0585916	D1.1
Pf3D7_08_v3-585993-586266-1A	Pf3D7_08_v3-0586024-0586233	D1.1
Pf3D7_08_v3-932991-933181-2	Pf3D7_08_v3-0933018-0933151	v2
Pf3D7_08_v3-932995-933173-1	Pf3D7_08_v3-0933023-0933143	v1
Pf3D7_08_v3-1056646-1056895-2	Pf3D7_08_v3-1056678-1056867	v2
Pf3D7_08_v3-1056678-1056903-1A	Pf3D7_08_v3-1056702-1056878	D1.1
Pf3D7_08_v3-1099719-1099977-1A	Pf3D7_08_v3-1099750-1099944	D1.1,M1.1
Pf3D7_08_v3-1176313-1176549-1A	Pf3D7_08_v3-1176345-1176524	D1.1,M2.1
Pf3D7_08_v3-1269295-1269482-2	Pf3D7_08_v3-1269320-1269455	v2
Pf3D7_08_v3-1269294-1269485-1	Pf3D7_08_v3-1269320-1269456	v1
Pf3D7_08_v3-1311910-1312173-2	Pf3D7_08_v3-1311941-1312142	v2
Pf3D7_08_v3-1313088-1313338-1A	Pf3D7_08_v3-1313119-1313308	D1.1
Pf3D7_08_v3-1314717-1314986-1A	Pf3D7_08_v3-1314743-1314953	D1.1
Pf3D7_08_v3-1325094-1325343-2	Pf3D7_08_v3-1325126-1325311	v2
Pf3D7_08_v3-1344618-1344845-1A	Pf3D7_08_v3-1344650-1344813	D1.1
Pf3D7_08_v3-1344653-1344847-2	Pf3D7_08_v3-1344684-1344819	v2
Pf3D7_08_v3-1344653-1344847-1	Pf3D7_08_v3-1344686-1344819	v1
Pf3D7_08_v3-1362863-1363120-2	Pf3D7_08_v3-1362890-1363087	v2
Pf3D7_08_v3-1362863-1363120-1	Pf3D7_08_v3-1362891-1363087	v1
Pf3D7_08_v3-1365709-1365954-1B	Pf3D7_08_v3-1365741-1365924	R1.1,R1.2
Pf3D7_08_v3-1365750-1365999-2	Pf3D7_08_v3-1365782-1365968	R2.1
Pf3D7_08_v3-1366575-1366822-2	Pf3D7_08_v3-1366599-1366795	R2.1
Pf3D7_08_v3-1366626-1366856-1B	Pf3D7_08_v3-1366658-1366823	R1.1,R1.2
Pf3D7_08_v3-1366744-1366993-2	Pf3D7_08_v3-1366771-1366965	v2
Pf3D7_08_v3-1370603-1370853-1B	Pf3D7_08_v3-1370632-1370825	R1.1,R1.2
Pf3D7_08_v3-1370814-1371045-2	Pf3D7_08_v3-1370846-1371012	R2.1
Pf3D7_08_v3-1374975-1375255-2	Pf3D7_08_v3-1375002-1375229	v2
Pf3D7_08_v3-1375025-1375284-1B	Pf3D7_08_v3-1375056-1375259	R1.1,R1.2
Pf3D7_08_v3-1375205-1375450-2	Pf3D7_08_v3-1375237-1375418	M1.1,R2.1
Pf3D7_08_v3-1377992-1378234-6	Pf3D7_08_v3-1378023-1378202	M1.1
Pf3D7_08_v3-1381244-1381492-2	Pf3D7_08_v3-1381276-1381463	v2
Pf3D7_08_v3-1382231-1382505-6	Pf3D7_08_v3-1382263-1382472	M1.1
Pf3D7_08_v3-1386786-1387035-2	Pf3D7_08_v3-1386816-1387005	R2.1
Pf3D7_08_v3-1386795-1387043-1B	Pf3D7_08_v3-1386821-1387013	M1.1,R1.1,R1.2
Pf3D7_09_v3-82006-82236-1A	Pf3D7_09_v3-0082033-0082203	D1.1
Pf3D7_09_v3-158647-158911-2	Pf3D7_09_v3-0158679-0158883	v2
Pf3D7_09_v3-163035-163254-2	Pf3D7_09_v3-0163067-0163221	v2
Pf3D7_09_v3-163577-163823-2	Pf3D7_09_v3-0163601-0163797	v2
Pf3D7_09_v3-163813-164052-1A	Pf3D7_09_v3-0163845-0164021	D1.1
Pf3D7_09_v3-164045-164311-1A	Pf3D7_09_v3-0164074-0164287	D1.1
Pf3D7_09_v3-202854-203106-1A	Pf3D7_09_v3-0202886-0203076	D1.1
Pf3D7_09_v3-270915-271160-1A	Pf3D7_09_v3-0270941-0271136	D1.1
Pf3D7_09_v3-516735-517007-1A	Pf3D7_09_v3-0516766-0516980	D1.1
Pf3D7_09_v3-516876-517125-2	Pf3D7_09_v3-0516903-0517092	v2
Pf3D7_09_v3-516904-517125-1	Pf3D7_09_v3-0516928-0517092	v1
Pf3D7_09_v3-595828-596094-1A	Pf3D7_09_v3-0595860-0596063	D1.1,M1.1
Pf3D7_09_v3-596101-596365-1	Pf3D7_09_v3-0596133-0596334	v1
Pf3D7_09_v3-596102-596365-2	Pf3D7_09_v3-0596133-0596334	v2
Pf3D7_09_v3-685560-685825-1A	Pf3D7_09_v3-0685587-0685792	D1.1
Pf3D7_09_v3-685583-685825-1	Pf3D7_09_v3-0685601-0685792	v1
Pf3D7_09_v3-687863-688088-2	Pf3D7_09_v3-0687890-0688056	v2
Pf3D7_09_v3-1015102-1015372-2	Pf3D7_09_v3-1015129-1015342	v2
Pf3D7_09_v3-1015103-1015350-1A	Pf3D7_09_v3-1015130-1015317	D1.1
Pf3D7_09_v3-1178862-1179111-2	Pf3D7_09_v3-1178893-1179078	v2
Pf3D7_09_v3-1178862-1179111-1	Pf3D7_09_v3-1178894-1179078	v1
