<<<<<<< HEAD
old_name	new_name
Pf3D7_04_v3-0748128-0748326	Pf3D7_04_v3-748105-748359-1B
Pf3D7_04_v3-0748406-0748581	Pf3D7_04_v3-748374-748611-1B
Pf3D7_05_v3-0958105-0958317	Pf3D7_05_v3-958079-958350-1B
Pf3D7_05_v3-0958394-0958580	Pf3D7_05_v3-958372-958608-1B
Pf3D7_05_v3-0958952-0959135	Pf3D7_05_v3-958920-959168-1B
Pf3D7_05_v3-0960841-0961021	Pf3D7_05_v3-960810-961048-1B
Pf3D7_05_v3-0961543-0961730	Pf3D7_05_v3-961511-961758-1B
Pf3D7_06_v3-1214845-1215036	Pf3D7_06_v3-1214815-1215069-1B
Pf3D7_06_v3-1215267-1215479	Pf3D7_06_v3-1215236-1215502-1B
Pf3D7_06_v3-1215515-1215727	Pf3D7_06_v3-1215495-1215756-1B
Pf3D7_07_v3-0403499-0403683	Pf3D7_07_v3-403479-403716-1B
Pf3D7_07_v3-0403833-0404021	Pf3D7_07_v3-403801-404052-1B
Pf3D7_07_v3-0404357-0404564	Pf3D7_07_v3-404325-404590-1B
Pf3D7_07_v3-0404808-0404981	Pf3D7_07_v3-404776-405006-1B
Pf3D7_07_v3-0405357-0405543	Pf3D7_07_v3-405334-405576-1B
Pf3D7_07_v3-0405597-0405815	Pf3D7_07_v3-405570-405844-1B
Pf3D7_07_v3-0896645-0896816	Pf3D7_07_v3-896613-896849-1B
Pf3D7_08_v3-0549609-0549776	Pf3D7_08_v3-549583-549807-1B
Pf3D7_08_v3-0549988-0550182	Pf3D7_08_v3-549960-550215-1B
Pf3D7_10_v3-0490637-0490844	Pf3D7_10_v3-490605-490877-1B
Pf3D7_12_v3-2092558-2092765	Pf3D7_12_v3-2092529-2092798-1B
Pf3D7_13_v3-0748286-0748477	Pf3D7_13_v3-748254-748510-1B
Pf3D7_13_v3-0958275-0958482	Pf3D7_13_v3-958247-958510-1B
Pf3D7_13_v3-1724925-1725137	Pf3D7_13_v3-1724895-1725166-1B
Pf3D7_13_v3-1725231-1725441	Pf3D7_13_v3-1725208-1725471-1B
Pf3D7_13_v3-1725493-1725694	Pf3D7_13_v3-1725464-1725719-1B
Pf3D7_13_v3-1725740-1725923	Pf3D7_13_v3-1725713-1725955-1B
Pf3D7_13_v3-1726089-1726271	Pf3D7_13_v3-1726057-1726304-1B
Pf3D7_13_v3-1726755-1726967	Pf3D7_13_v3-1726723-1726995-1B
Pf3D7_13_v3-2504513-2504701	Pf3D7_13_v3-2504481-2504734-1B
Pf3D7_14_v3-0283380-0283552	Pf3D7_14_v3-283350-283576-1B
Pf3D7_14_v3-0284005-0284184	Pf3D7_14_v3-283973-284211-1B
Pf3D7_14_v3-0288461-0288664	Pf3D7_14_v3-288429-288696-1B
Pf3D7_14_v3-0289328-0289517	Pf3D7_14_v3-289301-289550-1B
Pf3D7_14_v3-0293607-0293796	Pf3D7_14_v3-293575-293829-1B
Pf3D7_14_v3-0294537-0294730	Pf3D7_14_v3-294506-294753-1B
Pf3D7_14_v3-0297615-0297824	Pf3D7_14_v3-297583-297856-1B
Pf3D7_14_v3-0297960-0298129	Pf3D7_14_v3-297935-298162-1B
Pf3D7_14_v3-0298400-0298603	Pf3D7_14_v3-298368-298636-1B
Pf3D7_14_v3-1954881-1955099	Pf3D7_14_v3-1954850-1955124-1B
Pf3D7_14_v3-1956088-1956301	Pf3D7_14_v3-1956056-1956330-1B
Pf3D7_14_v3-1956395-1956609	Pf3D7_14_v3-1956365-1956639-1B
Pf3D7_14_v3-1957250-1957447	Pf3D7_14_v3-1957218-1957480-1B
Pf3D7_14_v3-2481064-2481245	Pf3D7_14_v3-2481033-2481276-1B
>>>>>>> main
