amplicon	amplicon_start	amplicon_end	ampInsert_start	ampInsert_end	amplicon_length	ampInsert_length
Pf09_01_v3-0516928-0517092-1	0516904	0517125	0516928	0517092	221	164
Pf09_01_v3-0596133-0596334-1	0596101	0596365	0596133	0596334	264	201
Pf09_01_v3-0685601-0685792-1	0685583	0685825	0685601	0685792	242	191
Pf09_01_v3-1178894-1179078-1	1178862	1179111	1178894	1179078	249	184
Pf09_01_v3-1406405-1406541-1	1406375	1406572	1406405	1406541	197	136
Pf09_01_v3-1437114-1437303-1	1437081	1437331	1437114	1437303	250	189
Pf10_01_v3-0377095-0377209-1	0377062	0377237	0377095	0377209	175	114
Pf10_01_v3-0992371-0992544-1	0992338	0992572	0992371	0992544	234	173
Pf10_01_v3-1386700-1386869-1	1386672	1386902	1386700	1386869	230	169
Pf10_01_v3-1399544-1399711-1	1399515	1399741	1399544	1399711	226	167
Pf10_01_v3-1436479-1436682-1	1436451	1436714	1436479	1436682	263	203
Pf11_01_v3-0119486-0119693-1	0119456	0119726	0119486	0119693	270	207
Pf11_01_v3-1009856-1010038-1	1009831	1010071	1009856	1010038	240	182
Pf11_01_v3-1018953-1019085-1	1018920	1019113	1018953	1019085	193	132
Pf11_01_v3-1376185-1376372-1	1376159	1376402	1376185	1376372	243	187
Pf11_01_v3-1552430-1552640-1	1552397	1552667	1552430	1552640	270	210
Pf11_01_v3-1750865-1751055-1	1750833	1751083	1750865	1751055	250	190
Pf11_01_v3-1816211-1816425-1	1816181	1816452	1816211	1816425	271	214
Pf12_01_v3-0063166-0063280-1	0063135	0063313	0063166	0063280	178	114
Pf12_01_v3-0659891-0660010-1	0659858	0660037	0659891	0660010	179	119
Pf12_01_v3-0684088-0684261-1	0684059	0684289	0684088	0684261	230	173
Pf12_01_v3-0943258-0943428-1	0943227	0943456	0943258	0943428	229	170
Pf12_01_v3-1237431-1237603-1	1237407	1237636	1237431	1237603	229	172
Pf12_01_v3-2050130-2050314-1	2050103	2050346	2050130	2050314	243	184
Pf13_01_v3-0103659-0103879-1	0103631	0103905	0103659	0103879	274	220
Pf13_01_v3-0156566-0156722-1	0156535	0156753	0156566	0156722	218	156
Pf13_01_v3-1150303-1150493-1	1150279	1150526	1150303	1150493	247	190
Pf13_01_v3-1419543-1419670-1	1419519	1419700	1419543	1419670	181	127
Pf13_01_v3-1725365-1725570-1	1725337	1725592	1725365	1725570	255	205
Pf13_01_v3-1876352-1876534-1	1876325	1876566	1876352	1876534	241	182
Pf13_01_v3-2114975-2115142-1	2114942	2115174	2114975	2115142	232	167
Pf13_01_v3-2124634-2124847-1	2124602	2124876	2124634	2124847	274	213
Pf13_01_v3-2479086-2479246-1	2479055	2479275	2479086	2479246	220	160
Pf13_01_v3-2481106-2481288-1	2481079	2481321	2481106	2481288	242	182
Pf13_01_v3-2669135-2669307-1	2669104	2669339	2669135	2669307	235	172
Pf14_01_v3-0039953-0040137-1	0039920	0040170	0039953	0040137	250	184
Pf14_01_v3-0120215-0120351-1	0120188	0120381	0120215	0120351	193	136
Pf14_01_v3-0150105-0150294-1	0150075	0150318	0150105	0150294	243	189
Pf14_01_v3-0279663-0279786-1	0279635	0279818	0279663	0279786	183	123
Pf14_01_v3-0407379-0407571-1	0407346	0407604	0407379	0407571	258	192
Pf14_01_v3-0564208-0564377-1	0564177	0564409	0564208	0564377	232	169
Pf14_01_v3-1038369-1038486-1	1038340	1038518	1038369	1038486	178	117
Pf14_01_v3-1956129-1956286-1	1956096	1956312	1956129	1956286	216	157
Pf14_01_v3-1992289-1992426-1	1992261	1992458	1992289	1992426	197	137
Pf14_01_v3-2524962-2525089-1	2524931	2525119	2524962	2525089	188	127
Pf14_01_v3-3124642-3124842-1	3124614	3124870	3124642	3124842	256	200
Pf14_01_v3-3214351-3214478-1	3214318	3214502	3214351	3214478	184	127
